Goal;Target;Indicator;SeriesCode;SeriesDescription;GeoAreaCode;GeoAreaName;Reporting Type;Units;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);188;Costa Rica;G;PERCENT;32.95;32.1;32.54;33.3;39.16;41.73;42.4;41.18;40.7;40.72;40.39;38.02;38.06;37.8;37.62;38.33;34.09;33.31;33.12;33.4;36.4;34.16;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);384;Côte d'Ivoire;G;PERCENT;63.72;64.73;65.32;70.32;75.4;77.92;74.79;76.33;74.21;73.71;75.42;79.11;74.9;72.16;71.91;64.51;64.04;62.54;60.51;61.06;61.78;58.17;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);191;Croatia;G;PERCENT;26.83;26.92;24.64;24.82;26.59;26.8;25.51;22.66;24.15;27.16;29.76;27.17;29.41;32.83;33.61;33.09;31.83;29.79;32.83;31.61;32.37;34.07;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);192;Cuba;G;PERCENT;34.43;34.05;34.8;33.56;33.77;26.31;21.96;18.59;18.73;18.97;15.61;19.2;19.38;18.24;23.16;21.15;19.2;22;23.99;23.14;24.54;20.91;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);531;Curaçao;G;PERCENT;0.07;0.63;0.6;0.61;0.61;0.6;0.59;0.58;0.51;0.5;0.5;0.5;0.57;1.12;1.36;1.3;1.42;1.85;2.55;2.52;2.84;2.75;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);196;Cyprus;G;PERCENT;3.08;3.03;3.16;3.24;3.28;3.35;3.49;4.32;5.66;6.29;6.5;7.6;8.6;9.73;9.49;10.41;10.27;10.94;12.02;11.97;15.02;15.63;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);203;Czechia;G;PERCENT;5.94;6.29;7.28;6.72;7.13;7.53;7.88;8.32;8.99;10.25;10.95;12.16;12.8;13.95;14.85;14.83;14.77;14.46;14.71;15.88;16.98;17.16;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);408;Democratic People's Republic of Korea;G;PERCENT;8.72;8.62;9.02;9.26;9.37;9.23;8.96;10.9;10.19;10.36;11.01;14.79;15.41;20.83;18.5;22.64;24.02;10.22;11.89;10.04;11.15;14.72;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);180;Democratic Republic of the Congo;G;PERCENT;97.94;98.34;98.27;97.97;97.88;97.42;97.33;97.17;96.97;97.02;96.81;96.21;95.47;93.92;92.87;95.82;97.05;96.72;96.41;96.32;96.2;96.33;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);208;Denmark;G;PERCENT;10.73;11.12;11.86;12.72;14.44;16.12;15.26;17.69;18.54;19.33;21.2;23.83;26.93;27.05;30.19;32.53;31.95;35.02;34.56;37.25;39.45;39.52;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);514;Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand);G;PERCENT;7.09;6.75;6.83;7.03;7.26;7.64;8.01;8.34;8.81;9.46;9.65;10.06;10.58;11.09;11.29;11.44;11.67;11.95;12.27;12.63;13.77;13.57;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);515;Developing regions;G;PERCENT;32.25;31.63;31.05;29.94;28.19;26.74;25.99;24.9;24.39;23.99;23;22.24;22.02;22.01;21.98;21.95;22.18;22.29;22.43;22.75;23.72;23.29;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);262;Djibouti;G;PERCENT;31.44;31.68;32.44;32.88;33.62;33.09;33.01;32.52;33.14;34.38;32.54;32.02;32.28;29.93;29.42;24.75;23.63;23.31;24.66;23.35;27.46;26.56;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);212;Dominica;G;PERCENT;11.06;9.41;13.6;10.56;11.4;10.02;9.82;7.75;7.96;7.48;10.28;13.8;11.33;11.41;9.86;8.68;10.74;9.66;7.89;7.62;8.58;8.83;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);214;Dominican Republic;G;PERCENT;19.11;18.89;17.94;18.94;20.67;19.44;17.98;17.89;17.68;17.34;16.91;16.75;16.48;16.55;17.28;14.88;15.31;16.87;15.95;14.4;15.97;14.82;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);14;Eastern Africa;G;PERCENT;87.93;88.17;88.52;88.91;88.91;88.75;88.29;87.98;88.23;88.09;87.34;87.11;86.31;85.77;85.2;84.34;83.64;83.74;83.19;82.85;84.22;82.92;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);753;Eastern and South-Eastern Asia;G;PERCENT;23.13;22.4;21.72;20.32;18.34;16.76;16.22;15.28;14.98;14.44;13.5;12.82;12.91;12.84;13.24;13.06;13.37;13.68;13.87;14.28;14.87;15.12;;;;;;;;;;;;;;;;;;;;;
