Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Reporting Type,Type of renewable technology,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),32,Argentina,G,MARINE,W_PER_CAPITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),32,Argentina,G,SOLAR,W_PER_CAPITA,0.00426,0.02948,0.02917,0.02887,0.00597,0.00358,0.0017,0.00168,0.00166,0.00165,0.04221,0.09227,0.21124,0.25705,0.25441,0.2511,0.24791,0.24985,4.35747,9.91056,17.00212,23.70358,24.34411
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),32,Argentina,G,WIND,W_PER_CAPITA,0.38068,0.66245,0.68096,0.67216,0.71968,0.71228,0.70494,0.69789,0.691,0.68402,0.6771,1.43492,3.26511,4.48188,5.02491,4.3254,4.29241,5.14684,16.89442,35.96693,58.26233,72.71109,72.73348
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),51,Armenia,G,ALL,W_PER_CAPITA,323.24209,323.15896,375.35785,379.30004,333.91557,337.79354,349.75876,355.79233,363.12006,370.35438,382.56209,393.39346,429.97906,445.18049,450.09395,447.89211,459.03724,467.09711,478.27172,483.59357,500.22134,535.37761,569.4435
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),51,Armenia,G,BIOENERGY,W_PER_CAPITA,0,0,0,0,0,0,0,0,0.43574,0.43855,0.44123,0.44384,0.44606,0,0,0,0,0,0,0,0,0,0
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),51,Armenia,G,GEOTHERMAL,W_PER_CAPITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),51,Armenia,G,HYDROPOWER,W_PER_CAPITA,323.24209,323.15896,375.35785,379.30004,333.91557,336.92718,348.88646,354.91362,361.79942,369.02523,381.22481,392.04828,428.62716,444.27058,449.18043,446.9889,457.66766,465.22995,471.13455,475.07589,481.17912,481.98228,483.80327
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),51,Armenia,G,MARINE,W_PER_CAPITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),51,Armenia,G,SOLAR,W_PER_CAPITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34894,0.84154,6.10599,7.48067,17.99966,52.34732,84.58825
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),51,Armenia,G,WIND,W_PER_CAPITA,0,0,0,0,0,0.86636,0.8723,0.87871,0.88489,0.8906,0.89604,0.90134,0.90584,0.90991,0.91352,0.90322,1.02064,1.02562,1.03118,1.03701,1.04255,1.04802,1.05198
